artist_name,artist_followers,artist_genres,artist_popularity,track_name,album_name,release_date,track_duration,track_popularity
Timeflies,317918,indie pop rap,49,Raincoat - Acoustic,Raincoat (Acoustic),2017-10-24,215,0
Eden Elf,7734,acoustic cover,52,cry me a river,acoustic covers vol.1,2021-04-30,178,42
The Lumineers,5570887,"folk-pop, modern rock, neo mellow, stomp and holler",79,Gloria,III,2019-09-13,216,11
Thomas Daniel,25240,acoustic cover,46,What About Us - Acoustic,What About Us (Acoustic),2017-09-01,255,53
Sarah Jarosz,157916,"ectofolk, folk, indie folk, new americana, progressive bluegrass",51,I Still Haven't Found What I'm Looking For,I Still Haven't Found What I'm Looking For / my future,2021-01-29,212,52
Scott Bradlee's Postmodern Jukebox,1143567,"jazz cover, swing",61,Creep,Emoji Antique,2015-04-23,283,56
Daulton Hopkins,4166,,35,I Melt with You,I Melt with You,2020-11-20,217,0
Daniela Andrade,409677,"canadian contemporary r&b, folk-pop",58,Crazy in Love,Crazy in Love,2014-03-14,227,52
Adele,61009632,"british soul, pop, pop soul, uk pop",87,Easy On Me,30,2021-11-19,224,82
Lissie,232013,folk-pop,53,Dreams - Piano Version,Dreams (Piano Version),2019-03-01,274,0
Dermot Kennedy,1582930,"folk-pop, irish pop, uk pop",71,Days Like This,Without Fear (The Complete Edition),2020-11-06,149,0
Aaron Krause,9985,channel pop,41,Every Breath You Take (feat. Liza Anne),Every Breath You Take (feat. Liza Anne),2013-11-22,223,1
Molly Parden,22481,"indie folk, new americana",43,Landslide,Why Worry: A Collection of Covers,2019-06-28,245,48
Roses & Frey,13887,acoustic cover,47,Wake Me Up,Wake Me Up,2018-01-05,196,52
Rhys Lewis,388271,uk pop,55,July - Bedroom Session,July (Bedroom Session),2020-11-06,210,44
Eden Elf,7734,acoustic cover,52,Revenge (XXXTENTACION),Revenge (XXXTENTACION),2021-03-19,112,42
Tom Speight,65561,channel pop,47,Save Tonight,Save Tonight,2020-02-07,270,0
Aloe Blacc,728335,"pop soul, r&b",65,Wake Me Up - Acoustic,Lift Your Spirit,2013-01-01,225,57
Elton John,14167109,"glam rock, mellow gold, piano rock, rock",86,Cold Heart - Acoustic,Cold Heart (Acoustic),2021-10-12,195,57
Pierre Garnier,260722,french pop,66,Ceux qu'on était,Ceux qu'on était,2024-02-07,174,60
Benson Boone,4145837,singer-songwriter pop,85,Beautiful Things,Beautiful Things,2024-01-18,180,85
Sabrina Carpenter,16556616,pop,94,Espresso,Espresso,2024-04-12,175,89
Carbonne,179048,,64,Imagine,Imagine,2024-05-03,165,71
KAROL G,52990619,"reggaeton, reggaeton colombiano, urbano latino",91,Si Antes Te Hubiera Conocido,Si Antes Te Hubiera Conocido,2024-06-21,195,92
Sevdaliza,762618,"alternative r&b, persian electronic",76,Alibi (with Pabllo Vittar & Yseult),Alibi (with Pabllo Vittar & Yseult),2024-06-28,161,84
Jérémy Frerot,142986,"french pop, variete francaise",59,Adieu,Adieu,2024-04-22,184,53
GIMS,5279132,"french hip hop, pop urbaine, r&b francais, rap conscient",81,SPIDER,SPIDER,2024-05-10,188,73
Billie Eilish,104092602,"art pop, pop",96,BIRDS OF A FEATHER,HIT ME HARD AND SOFT,2024-05-17,210,96
Coldplay,55432542,"permanent wave, pop",91,WE PRAY,Moon Music (Full Moon Edition),2024-10-03,233,71
Kendji Girac,2116508,french pop,65,Si seulement...,Si seulement...,2024-08-29,177,66
Indochine,1184004,"chanson, french pop, french rock, french synthpop",63,Le chant des cygnes - Single Version,Le chant des cygnes,2024-06-14,217,57
Lady Gaga,33441022,"art pop, dance pop, pop",92,Die With A Smile,Die With A Smile,2024-08-16,251,99
Kavinsky,987464,filter house,66,Nightcall,Nightcall,2024-09-20,179,73
Pierre Garnier,260722,french pop,66,Chaque seconde (feat. M. Pokora),Chaque seconde (feat. M. Pokora),2024-09-20,165,67
Louane,1445965,french pop,64,la pluie,la pluie,2024-06-27,161,63
Myles Smith,853757,singer-songwriter pop,80,Stargazing,Stargazing,2024-05-10,172,87
Hozier,8195970,"irish singer-songwriter, modern rock, pop, pov: indie",86,Too Sweet,Unheard,2024-03-22,251,78
Joseph Kamel,55976,french pop,55,Beau (feat. Julien Doré),Miroirs,2023-10-27,176,58
Stéphane,17207,french pop,45,Ma chérie,Ma chérie,2024-01-26,181,48
CYRIL,307489,,80,Stumblin' In,Stumblin' In,2023-11-10,213,83
Dua Lipa,45222497,"dance pop, pop, uk pop",88,Training Season,Training Season,2024-02-15,209,74
Slimane,1752437,french pop,66,Résister (What about Peace?),Résister (What about Peace?),2024-06-13,190,58
Jérémy Frerot,142986,"french pop, variete francaise",59,Gamins des sables,Gamins des sables,2024-07-26,179,54
Dasha,273166,,76,Austin (Boots Stop Workin'),Austin (Boots Stop Workin'),2023-11-17,171,62
Benson Boone,4145837,singer-songwriter pop,85,Slow It Down,Slow It Down,2024-03-21,161,71
Jeck,47549,french pop,57,Sans toi,Sans toi,2024-03-22,181,38
Vianney,1436936,"chanson, french pop",64,Je suis fou,à 2 à 3,2023-11-10,226,49
Teddy Swims,3606592,,87,The Door,I've Tried Everything But Therapy (Part 1),2023-09-15,212,85
Måneskin,9949764,"indie rock italiano, italian pop",80,VALENTINE,RUSH! (ARE U COMING?),2023-11-10,216,64
Pierre Garnier,260722,french pop,66,Nous on sait,Nous on sait,2024-05-17,182,61
Lara Fabian,890391,,59,Ta peine,Ta peine,2024-01-26,164,45
Imagine Dragons,55668981,"modern rock, pop, rock",89,Eyes Closed,Eyes Closed,2024-04-03,200,64
Dua Lipa,45222497,"dance pop, pop, uk pop",88,Houdini,Houdini,2023-11-09,185,58
Helena,78630,french pop,60,Summer Body,Pas de seum pour le summer,2024-06-21,179,66
Joseph Kamel,55976,french pop,55,Ton regard,Ton regard,2024-05-31,153,57
Kungs,963625,"edm, pop dance, uk dance",70,All Night Long,All Night Long,2024-01-19,178,63
P!nk,17420888,"dance pop, pop",81,All Out Of Fight,TRUSTFALL (Tour Deluxe Edition),2023-11-30,212,60
SANTA,144706,french pop,62,Recommence-moi,Recommence-moi,2024-03-22,196,3
Coldplay,55432542,"permanent wave, pop",91,feelslikeimfallinginlove - Single Version,feelslikeimfallinginlove,2024-06-21,237,75
Beyoncé,39231083,"pop, r&b",87,TEXAS HOLD 'EM,TEXAS HOLD 'EM,2024-02-11,233,74
Soprano,3558991,"french hip hop, french pop, rap marseille",66,Facile à danser,Facile à danser,2024-05-03,193,46
Celestal,2292,,32,Beautiful Lie,Beautiful Lie,2023-08-25,148,39
Mark Ambor,552582,singer-songwriter pop,77,Belong Together,Belong Together,2024-02-16,148,80
Hoshi,754941,"chanson, french pop, variete francaise",64,Puis t'as dansé avec moi,Cœur parapluie,2023-09-01,217,59
Loreen,1151669,europop,70,Is It Love,Is It Love,2023-10-13,143,65
Aden Foyer,39524,,54,Galileo Galilei,The Ballet Girl,2023-09-08,199,45
Vitaa,1331303,"french pop, r&b francais",64,Promets-moi,Charlotte,2023-10-06,188,6
Dua Lipa,45222497,"dance pop, pop, uk pop",88,Illusion,Radical Optimism,2024-05-03,188,76
ROSÉ,8905940,k-pop,90,APT.,APT.,2024-10-18,169,97
Olivia Rodrigo,42203840,pop,88,drivers license,drivers license,2021-01-08,242,18
The Weeknd,96449542,"canadian contemporary r&b, canadian pop, pop",96,Save Your Tears (with Ariana Grande) (Remix),Save Your Tears (Remix),2021-04-23,191,75
Doja Cat,32188568,"dance pop, pop",87,Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),2021-04-09,208,71
Lil Nas X,12403081,lgbtq+ hip hop,76,MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),2021-03-31,137,68
SZA,25205028,"pop, r&b, rap",93,Good Days,Good Days,2020-12-25,279,73
Olivia Rodrigo,42203840,pop,88,deja vu,deja vu,2021-04-01,215,9
Justin Bieber,79521536,"canadian pop, pop",92,Peaches (feat. Daniel Caesar & Giveon),Justice,2021-03-19,198,77
Doja Cat,32188568,"dance pop, pop",87,Woman,Planet Her,2021-06-25,172,81
Dua Lipa,45222497,"dance pop, pop, uk pop",88,Levitating (feat. DaBaby),Levitating (feat. DaBaby),2020-10-01,203,65
Bruno Mars,64329544,"dance pop, pop",96,Leave The Door Open,Leave The Door Open,2021-03-05,242,6
Adele,61009632,"british soul, pop, pop soul, uk pop",87,Easy On Me,Easy On Me,2021-10-14,224,77
Billie Eilish,104092602,"art pop, pop",96,Happier Than Ever,Happier Than Ever,2021-07-30,298,81
Ariana Grande,102039011,pop,96,34+35,Positions,2020-10-30,173,74
Olivia Rodrigo,42203840,pop,88,good 4 u,good 4 u,2021-05-14,178,15
Måneskin,9949764,"indie rock italiano, italian pop",80,Beggin',Chosen,2017-12-08,211,81
The Kid LAROI,5944181,australian hip hop,85,STAY (with Justin Bieber),STAY (with Justin Bieber),2021-07-09,141,77
Ed Sheeran,117932971,"pop, singer-songwriter pop, uk pop",90,Bad Habits,Bad Habits,2021-06-25,231,6
Taylor Swift,128480167,pop,100,willow,evermore,2020-12-11,214,73
BTS,77196288,"k-pop, k-pop boy group, pop",87,Butter,Butter,2021-05-21,164,1
Giveon,4233116,r&b,78,Heartbreak Anniversary,TAKE TIME,2020-03-27,198,79
Ariana Grande,102039011,pop,96,pov,Positions,2020-10-30,201,72
Kali Uchis,8250139,colombian pop,86,telepatía,Sin Miedo (del Amor y Otros Demonios) ∞,2020-12-04,160,81
Masked Wolf,758049,australian hip hop,64,Astronaut In The Ocean,Astronaut In The Ocean,2021-01-06,132,69
Drake,94383636,"canadian hip hop, canadian pop, hip hop, pop rap, rap",96,Fair Trade (with Travis Scott),Certified Lover Boy,2021-09-03,291,77
Måneskin,9949764,"indie rock italiano, italian pop",80,I WANNA BE YOUR SLAVE,Teatro d'ira - Vol. I,2021-03-19,173,80
Doja Cat,32188568,"dance pop, pop",87,Need to Know,Need to Know,2021-06-11,210,54
CKay,1567541,"afro r&b, afrobeats",69,love nwantiti (ah ah ah),CKay The First,2019-08-30,145,74
Olivia Rodrigo,42203840,pop,88,favorite crime,SOUR,2021-05-21,152,81
Taylor Swift,128480167,pop,100,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Red (Taylor's Version),2021-11-12,613,79
Coldplay,55432542,"permanent wave, pop",91,My Universe,My Universe,2021-09-24,228,72
LISA,10060029,k-pop,81,MONEY,LALISA,2021-09-10,168,71
Lil Nas X,12403081,lgbtq+ hip hop,76,INDUSTRY BABY (feat. Jack Harlow),MONTERO,2021-09-17,212,72
Kanye West,28455348,"chicago rap, hip hop, rap",93,Hurricane,Donda,2021-08-29,243,31
Justin Bieber,79521536,"canadian pop, pop",92,Hold On,Hold On,2021-03-05,170,63
Rauw Alejandro,25097926,"puerto rican pop, reggaeton, trap latino, urbano latino",94,Todo De Ti,Todo De Ti,2021-05-20,199,70
Doja Cat,32188568,"dance pop, pop",87,You Right,Planet Her,2021-06-25,186,74
Wizkid,6665903,"afrobeats, afropop, azonto, nigerian hip hop, nigerian pop",83,Essence (feat. Justin Bieber & Tems),Essence (feat. Justin Bieber & Tems),2021-08-13,263,58
Billie Eilish,104092602,"art pop, pop",96,Your Power,Your Power,2021-04-29,245,0
Glass Animals,4358650,"gauze pop, indietronica, modern rock, pov: indie, shiver pop",77,Heat Waves,Dreamland,2020-08-07,238,84
Tiësto,7621436,"big room, brostep, dutch edm, edm, house, pop dance, progressive electro house, slap house, trance",84,The Business,The Business,2020-09-16,164,71
Cardi B,24802698,"pop, rap",80,Up,Up,2021-02-05,156,63
Selena Gomez,51422972,"pop, post-teen pop",83,Baila Conmigo (with Rauw Alejandro),Revelación - EP,2021-03-12,186,63
Bad Bunny,87935792,"reggaeton, trap latino, urbano latino",96,Yonaguni,Yonaguni,2021-06-04,206,75
Megan Thee Stallion,10021932,"houston rap, pop, rap, trap queen",83,Body,Good News,2020-11-20,171,66
